manufacturer,model,serial_number,fault_time,tag,key
A,1,disk_103876,2018-08-29,4,1disk_103876
A,1,disk_105222,2018-08-19,0,1disk_105222
A,1,disk_107094,2018-08-09,3,1disk_107094
A,1,disk_115606,2018-08-05,0,1disk_115606
A,1,disk_129294,2018-08-04,1,1disk_129294
A,1,disk_131238,2018-08-13,4,1disk_131238
A,1,disk_136632,2018-08-31,6,1disk_136632
A,1,disk_138917,2018-08-19,0,1disk_138917
A,1,disk_140248,2018-08-23,0,1disk_140248
A,1,disk_141171,2018-08-09,1,1disk_141171
A,1,disk_145693,2018-08-31,1,1disk_145693
A,1,disk_14969,2018-08-06,0,1disk_14969
A,1,disk_33031,2018-08-01,1,1disk_33031
A,1,disk_35429,2018-08-19,6,1disk_35429
A,1,disk_41407,2018-08-29,0,1disk_41407
A,1,disk_50466,2018-08-26,0,1disk_50466
A,1,disk_52300,2018-08-31,0,1disk_52300
A,1,disk_62253,2018-08-03,2,1disk_62253
A,1,disk_9842,2018-08-15,6,1disk_9842
A,2,disk_11027,2018-08-10,4,2disk_11027
A,2,disk_11336,2018-08-22,0,2disk_11336
A,2,disk_126531,2018-08-08,4,2disk_126531
A,2,disk_137818,2018-08-13,1,2disk_137818
A,2,disk_13998,2018-08-10,0,2disk_13998
A,2,disk_25186,2018-08-17,0,2disk_25186
A,2,disk_257,2018-08-01,2,2disk_257
A,2,disk_28197,2018-08-27,1,2disk_28197
A,2,disk_31407,2018-08-22,0,2disk_31407
A,2,disk_47559,2018-08-16,2,2disk_47559
A,2,disk_68020,2018-08-18,1,2disk_68020
A,2,disk_73939,2018-08-04,2,2disk_73939
A,2,disk_80368,2018-08-13,0,2disk_80368
A,1,disk_100496,2018-08-08,1,1disk_100496
A,1,disk_113616,2018-08-30,2,1disk_113616
A,1,disk_114819,2018-08-01,6,1disk_114819
A,1,disk_123303,2018-08-04,3,1disk_123303
A,1,disk_123817,2018-08-30,1,1disk_123817
A,1,disk_125948,2018-08-16,3,1disk_125948
A,1,disk_128644,2018-08-08,0,1disk_128644
A,1,disk_140694,2018-08-03,3,1disk_140694
A,1,disk_25728,2018-08-12,4,1disk_25728
A,1,disk_28986,2018-08-05,0,1disk_28986
A,1,disk_29699,2018-08-28,1,1disk_29699
A,1,disk_34701,2018-08-06,4,1disk_34701
A,1,disk_41379,2018-08-11,1,1disk_41379
A,1,disk_43749,2018-08-29,0,1disk_43749
A,1,disk_4596,2018-08-25,3,1disk_4596
A,1,disk_53565,2018-08-28,6,1disk_53565
A,1,disk_63800,2018-08-30,1,1disk_63800
A,1,disk_65573,2018-08-10,2,1disk_65573
A,1,disk_68176,2018-08-13,4,1disk_68176
A,1,disk_68442,2018-08-08,1,1disk_68442
A,1,disk_68646,2018-08-15,3,1disk_68646
A,2,disk_119482,2018-08-19,0,2disk_119482
A,2,disk_126659,2018-08-18,4,2disk_126659
A,1,disk_65528,2018-08-11,6,1disk_65528
